"","age","rater","video","stimulus","sex","trial","corr"
"1","M48",1,"M48_S08_f_FA","Bike","f",1,1
"2","M48",1,"M48_S13_f_FA","Bike","f",2,1
"3","M48",1,"M48_S07_f_FA","Bike","f",3,1
"4","M48",1,"M48_S02_f_FA","Bike","f",4,1
"5","M48",1,"M48_S10_f_FA","Bike","f",5,0
"6","M72",1,"M72_S05_f_FA","Bike","f",1,1
"7","M72",1,"M72_S06_f_FA","Bike","f",2,1
"8","M72",1,"M72_S10_f_FA","Bike","f",3,1
"9","M72",1,"M72_S03_f_FA","Bike","f",4,1
"10","M72",1,"M72_S11_f_FA","Bike","f",5,0
"11","M72",1,"M72_S07_f_FA","Bike","f",6,0
"12","M72",1,"M72_S02_m_FA","Bike","m",1,1
"13","M72",1,"M72_S08_m_FA","Bike","m",2,1
"14","M72",1,"M72_S04_m_FA","Bike","m",3,1
"15","M72",1,"M72_S12_m_FA","Bike","m",4,1
"16","M72",1,"M72_S09_m_FA","Bike","m",5,1
"17","M48",1,"M48_S01_m_FA","Bike","m",1,1
"18","M48",1,"M48_S15_m_FA","Bike","m",2,1
"19","M48",1,"M48_S06_m_FA","Bike","m",3,1
"20","M48",1,"M48_S05_m_FA","Bike","m",4,0
"21","M72",1,"M72_S12_m_HA","Hammer","m",1,0
"22","M72",1,"M72_S04_m_HA","Hammer","m",2,1
"23","M72",1,"M72_S02_m_HA","Hammer","m",3,1
"24","M72",1,"M72_S08_m_HA","Hammer","m",4,1
"25","M72",1,"M72_S09_m_HA","Hammer","m",5,0
"26","M48",1,"M48_S01_m_HA","Hammer","m",1,0
"27","M48",1,"M48_S05_m_HA","Hammer","m",2,1
"28","M48",1,"M48_S04_m_HA","Hammer","m",3,0
"29","M48",1,"M48_S15_m_HA","Hammer","m",4,0
"30","M48",1,"M48_S06_m_HA","Hammer","m",5,1
"31","M72",1,"M72_S11_f_HA","Hammer","f",1,1
"32","M72",1,"M72_S05_f_HA","Hammer","f",2,0
"33","M72",1,"M72_S03_f_HA","Hammer","f",3,1
"34","M72",1,"M72_S10_f_HA","Hammer","f",4,1
"35","M72",1,"M72_S07_f_HA","Hammer","f",5,1
"36","M72",1,"M72_S06_f_HA","Hammer","f",6,0
"37","M48",1,"M48_S13_f_HA","Hammer","f",1,1
"38","M48",1,"M48_S10_f_HA","Hammer","f",2,1
"39","M48",1,"M48_S02_f_HA","Hammer","f",3,1
"40","M48",1,"M48_S08_f_HA","Hammer","f",4,0
"41","M48",1,"M48_S07_f_HA","Hammer","f",5,0
"42","M48",1,"M48_S02_f_GA","Fork","f",1,1
"43","M48",1,"M48_S13_f_GA","Fork","f",2,1
"44","M48",1,"M48_S08_f_GA","Fork","f",3,0
"45","M48",1,"M48_S07_f_GA","Fork","f",4,1
"46","M48",1,"M48_S10_f_GA","Fork","f",5,1
