"","id","age","phase","block","trial","stimulus","corr"
"1","41038","M48","test","1","1","Fish",0
"2","41038","M48","test","1","2","Deer",1
"3","41038","M48","test","1","3","Duck",1
"4","41038","M48","test","1","4","Deer",1
"5","41038","M48","test","1","5","Fish",1
"6","41038","M48","test","1","6","Duck",1
"7","41038","M48","test","2","7","Fish",1
"8","41038","M48","test","2","8","Deer",1
"9","41038","M48","test","2","9","Duck",1
"10","41038","M48","test","2","10","Deer",1
"11","41038","M48","test","2","11","Fish",1
"12","41038","M48","test","2","12","Duck",1
"13","41038","M48","test","3","13","Deer",0
"14","41038","M48","test","3","14","Deer",0
"15","41038","M48","test","3","15","Fish",1
"16","41038","M48","test","3","16","Duck",1
"17","41038","M48","test","3","17","Fish",1
"18","41038","M48","test","3","18","Duck",1
"19","41038","M48","test","4","19","Duck",1
"20","41038","M48","test","4","20","Fish",1
"21","41038","M48","test","4","21","Duck",1
"22","41038","M48","test","4","22","Deer",0
"23","41038","M48","test","4","23","Deer",0
"24","41038","M48","test","4","24","Fish",0
"25","41038","M48","test","5","25","Duck",0
"26","41038","M48","test","5","26","Fish",0
"27","41038","M48","test","5","27","Deer",0
"28","41038","M48","test","5","28","Duck",0
"29","41038","M48","test","5","29","Deer",0
"30","41038","M48","test","5","30","Fish",0
"31","43543","M48","test","1","1","Duck",0
"32","43543","M48","test","1","2","Fish",1
"33","43543","M48","test","1","3","Deer",1
"34","43543","M48","test","1","4","Duck",1
"35","43543","M48","test","1","5","Deer",0
"36","43543","M48","test","1","6","Fish",1
"37","43543","M48","test","2","7","Duck",1
"38","43543","M48","test","2","8","Fish",1
"39","43543","M48","test","2","9","Deer",0
"40","43543","M48","test","2","10","Duck",0
"41","43543","M48","test","2","11","Deer",0
"42","43543","M48","test","2","12","Fish",1
"43","43543","M48","test","3","13","Duck",0
"44","43543","M48","test","3","14","Fish",1
"45","43543","M48","test","3","15","Deer",0
"46","43543","M48","test","3","16","Duck",0
"47","43543","M48","test","3","17","Deer",0
"48","43543","M48","test","3","18","Fish",0
"49","43543","M48","test","4","19","Duck",0
"50","43543","M48","test","4","20","Fish",1
"51","43543","M48","test","4","21","Deer",1
"52","43543","M48","test","4","22","Fish",1
"53","43543","M48","test","4","23","Duck",0
"54","43543","M48","test","4","24","Deer",0
"55","43543","M48","test","5","25","Fish",1
"56","43543","M48","test","5","26","Deer",0
"57","43543","M48","test","5","27","Duck",0
"58","43543","M48","test","5","28","Deer",0
"59","43543","M48","test","5","29","Fish",0
"60","43543","M48","test","5","30","Duck",0
"61","40778","M48","test","1","1","Fish",1
"62","40778","M48","test","1","2","Deer",1
"63","40778","M48","test","1","3","Fish",1
"64","40778","M48","test","1","4","Duck",1
"65","40778","M48","test","1","5","Duck",1
"66","40778","M48","test","1","6","Deer",1
"67","40778","M48","test","2","7","Fish",1
"68","40778","M48","test","2","8","Deer",1
"69","40778","M48","test","2","9","Duck",0
"70","40778","M48","test","2","10","Fish",1
"71","40778","M48","test","2","11","Duck",0
"72","40778","M48","test","2","12","Deer",1
"73","40778","M48","test","3","13","Duck",0
