"","age","rater","group","stimulus","phase","day","sex","trial","effort","corr"
"1","M48",1,"M48_d2_S11_f_EN _first.wmv","Duck","Spontaneous","Day2","f",1,0,1
"2","M48",1,"M48_d2_S08_f_EN_first.wmv","Duck","Spontaneous","Day2","f",2,0,1
"3","M48",1,"M48_d2_S02_f_EN_first.wmv","Duck","Spontaneous","Day2","f",3,1,0
"4","M48",1,"M48_d2_S10_f_EN_first.wmv","Duck","Spontaneous","Day2","f",4,1,0
"5","M48",1,"M48_d2_S13_f_EN_first.wmv","Duck","Spontaneous","Day2","f",5,1,0
"6","M48",1,"M48_d2_S07_f_EN_first.wmv","Duck","Spontaneous","Day2","f",6,0,1
"7","M48",10,"M48_d2_S10_f_EN_first.wmv","Duck","Spontaneous","Day2","f",1,1,0
"8","M48",10,"M48_d2_S08_f_EN_first.wmv","Duck","Spontaneous","Day2","f",2,0,1
"9","M48",10,"M48_d2_S02_f_EN_first.wmv","Duck","Spontaneous","Day2","f",3,0,0
"10","M48",10,"M48_d2_S11_f_EN _first.wmv","Duck","Spontaneous","Day2","f",4,0,1
"11","M48",10,"M48_d2_S13_f_EN_first.wmv","Duck","Spontaneous","Day2","f",5,0,1
"12","M48",10,"M48_d2_S07_f_EN_first.wmv","Duck","Spontaneous","Day2","f",6,0,1
"13","M48",11,"M48_d2_S07_f_EN_first.wmv","Duck","Spontaneous","Day2","f",1,0,1
"14","M48",11,"M48_d2_S08_f_EN_first.wmv","Duck","Spontaneous","Day2","f",2,0,1
"15","M48",11,"M48_d2_S10_f_EN_first.wmv","Duck","Spontaneous","Day2","f",3,0,1
"16","M48",11,"M48_d2_S11_f_EN _first.wmv","Duck","Spontaneous","Day2","f",4,0,1
"17","M48",11,"M48_d2_S02_f_EN_first.wmv","Duck","Spontaneous","Day2","f",5,0,0
"18","M48",11,"M48_d2_S13_f_EN_first.wmv","Duck","Spontaneous","Day2","f",6,0,1
"19","M48",13,"M48_d2_S07_f_EN_first.wmv","Duck","Spontaneous","Day2","f",1,0,1
"20","M48",13,"M48_d2_S02_f_EN_first.wmv","Duck","Spontaneous","Day2","f",2,0,1
"21","M48",13,"M48_d2_S08_f_EN_first.wmv","Duck","Spontaneous","Day2","f",3,0,1
"22","M48",13,"M48_d2_S13_f_EN_first.wmv","Duck","Spontaneous","Day2","f",4,0,1
"23","M48",13,"M48_d2_S10_f_EN_first.wmv","Duck","Spontaneous","Day2","f",5,1,1
"24","M48",13,"M48_d2_S11_f_EN _first.wmv","Duck","Spontaneous","Day2","f",6,0,1
"25","M48",2,"M48_d2_S07_f_EN_first.wmv","Duck","Spontaneous","Day2","f",1,0,1
"26","M48",2,"M48_d2_S02_f_EN_first.wmv","Duck","Spontaneous","Day2","f",2,1,1
"27","M48",2,"M48_d2_S11_f_EN _first.wmv","Duck","Spontaneous","Day2","f",3,0,1
"28","M48",2,"M48_d2_S08_f_EN_first.wmv","Duck","Spontaneous","Day2","f",4,1,1
"29","M48",2,"M48_d2_S13_f_EN_first.wmv","Duck","Spontaneous","Day2","f",5,0,1
"30","M48",2,"M48_d2_S10_f_EN_first.wmv","Duck","Spontaneous","Day2","f",6,1,1
"31","M48",3,"M48_d2_S11_f_EN _first.wmv","Duck","Spontaneous","Day2","f",1,0,1
"32","M48",3,"M48_d2_S10_f_EN_first.wmv","Duck","Spontaneous","Day2","f",2,1,1
"33","M48",3,"M48_d2_S07_f_EN_first.wmv","Duck","Spontaneous","Day2","f",3,0,1
"34","M48",3,"M48_d2_S08_f_EN_first.wmv","Duck","Spontaneous","Day2","f",4,0,1
"35","M48",3,"M48_d2_S13_f_EN_first.wmv","Duck","Spontaneous","Day2","f",5,1,1
"36","M48",3,"M48_d2_S02_f_EN_first.wmv","Duck","Spontaneous","Day2","f",6,1,1
"37","M48",4,"M48_d2_S08_f_EN_first.wmv","Duck","Spontaneous","Day2","f",1,0,1
"38","M48",4,"M48_d2_S13_f_EN_first.wmv","Duck","Spontaneous","Day2","f",2,1,0
"39","M48",4,"M48_d2_S02_f_EN_first.wmv","Duck","Spontaneous","Day2","f",3,1,0
"40","M48",4,"M48_d2_S11_f_EN _first.wmv","Duck","Spontaneous","Day2","f",4,1,0
"41","M48",4,"M48_d2_S10_f_EN_first.wmv","Duck","Spontaneous","Day2","f",5,1,0
"42","M48",4,"M48_d2_S07_f_EN_first.wmv","Duck","Spontaneous","Day2","f",6,0,1
"43","M48",5,"M48_d2_S02_f_EN_first.wmv","Duck","Spontaneous","Day2","f",1,0,1
"44","M48",5,"M48_d2_S08_f_EN_first.wmv","Duck","Spontaneous","Day2","f",2,0,1
"45","M48",5,"M48_d2_S07_f_EN_first.wmv","Duck","Spontaneous","Day2","f",3,0,1
"46","M48",5,"M48_d2_S10_f_EN_first.wmv","Duck","Spontaneous","Day2","f",4,0,1
"47","M48",5,"M48_d2_S11_f_EN _first.wmv","Duck","Spontaneous","Day2","f",5,0,1
"48","M48",5,"M48_d2_S13_f_EN_first.wmv","Duck","Spontaneous","Day2","f",6,0,1
"49","M48",6,"M48_d2_S02_f_EN_first.wmv","Duck","Spontaneous","Day2","f",1,1,0
"50","M48",6,"M48_d2_S07_f_EN_first.wmv","Duck","Spontaneous","Day2","f",2,0,1
"51","M48",6,"M48_d2_S08_f_EN_first.wmv","Duck","Spontaneous","Day2","f",3,0,1
"52","M48",6,"M48_d2_S11_f_EN _first.wmv","Duck","Spontaneous","Day2","f",4,0,1
"53","M48",6,"M48_d2_S13_f_EN_first.wmv","Duck","Spontaneous","Day2","f",5,0,1
"54","M48",6,"M48_d2_S10_f_EN_first.wmv","Duck","Spontaneous","Day2","f",6,0,1
"55","M48",7,"M48_d2_S13_f_EN_first.wmv","Duck","Spontaneous","Day2","f",1,0,1
"56","M48",7,"M48_d2_S08_f_EN_first.wmv","Duck","Spontaneous","Day2","f",2,0,1
"57","M48",7,"M48_d2_S07_f_EN_first.wmv","Duck","Spontaneous","Day2","f",3,0,1
"58","M48",7,"M48_d2_S02_f_EN_first.wmv","Duck","Spontaneous","Day2","f",4,1,0
"59","M48",7,"M48_d2_S10_f_EN_first.wmv","Duck","Spontaneous","Day2","f",5,1,1
"60","M48",7,"M48_d2_S11_f_EN _first.wmv","Duck","Spontaneous","Day2","f",6,0,1
"61","M48",8,"M48_d2_S08_f_EN_first.wmv","Duck","Spontaneous","Day2","f",1,0,1
"62","M48",8,"M48_d2_S07_f_EN_first.wmv","Duck","Spontaneous","Day2","f",2,0,0
"63","M48",8,"M48_d2_S11_f_EN _first.wmv","Duck","Spontaneous","Day2","f",3,0,1
"64","M48",8,"M48_d2_S13_f_EN_first.wmv","Duck","Spontaneous","Day2","f",4,1,1
"65","M48",8,"M48_d2_S10_f_EN_first.wmv","Duck","Spontaneous","Day2","f",5,1,0
"66","M48",8,"M48_d2_S02_f_EN_first.wmv","Duck","Spontaneous","Day2","f",6,0,0
"67","M48",9,"M48_d2_S02_f_EN_first.wmv","Duck","Spontaneous","Day2","f",1,0,1
"68","M48",9,"M48_d2_S13_f_EN_first.wmv","Duck","Spontaneous","Day2","f",2,0,1
"69","M48",9,"M48_d2_S10_f_EN_first.wmv","Duck","Spontaneous","Day2","f",3,1,0
"70","M48",9,"M48_d2_S11_f_EN _first.wmv","Duck","Spontaneous","Day2","f",4,0,1
"71","M48",9,"M48_d2_S07_f_EN_first.wmv","Duck","Spontaneous","Day2","f",5,0,1
"72","M48",9,"M48_d2_S08_f_EN_first.wmv","Duck","Spontaneous","Day2","f",6,1,0
"73","M72",1,"M72_d2_S11_f_EN_first.wmv","Duck","Spontaneous","Day2","f",1,1,0
"74","M72",1,"M72_d2_S03_f_EN_first.wmv","Duck","Spontaneous","Day2","f",2,0,1
"75","M72",1,"M72_d2_S07_f_EN_first.wmv","Duck","Spontaneous","Day2","f",3,0,1
"76","M72",1,"M72_d2_S06_f_EN_first.wmv","Duck","Spontaneous","Day2","f",4,1,0
"77","M72",1,"M72_d2_S05_f_EN_first.wmv","Duck","Spontaneous","Day2","f",5,0,1
"78","M72",1,"M72_d2_S10_f_EN_first.wmv","Duck","Spontaneous","Day2","f",6,0,1
"79","M72",10,"M72_d2_S07_f_EN_first.wmv","Duck","Spontaneous","Day2","f",1,0,1
"80","M72",10,"M72_d2_S10_f_EN_first.wmv","Duck","Spontaneous","Day2","f",2,1,0
"81","M72",10,"M72_d2_S03_f_EN_first.wmv","Duck","Spontaneous","Day2","f",3,1,0
"82","M72",10,"M72_d2_S06_f_EN_first.wmv","Duck","Spontaneous","Day2","f",4,0,1
