"","age","dyad_id","a_id","b_id","block","pc","trial","blocktrial","stimulus","prod","comp","prompts"
"1","M48","M48male_1","41068","41038","Spontaneous","41038",1,1,"Hammer",0,0,0
"2","M48","M48male_1","41068","41038","Spontaneous","41038",1,1,"Hammer",1,1,3
"3","M48","M48male_1","41068","41038","Spontaneous","41038",2,2,"Bike",0,1,3
"4","M48","M48male_1","41068","41038","Spontaneous","41038",3,3,"Comb",1,1,2
"5","M48","M48male_1","41068","41038","Spontaneous","41038",4,4,"Fork",1,1,0
"6","M48","M48male_1","41068","41038","Abstract in","41038",5,1,"Bike",1,0,3
"7","M48","M48male_1","41068","41038","Abstract in","41038",6,2,"Nothing",1,1,3
"8","M48","M48male_1","41068","41038","Abstract in","41038",7,3,"Hammer",1,1,0
"9","M48","M48male_1","41068","41038","Abstract in","41038",8,4,"Fork",1,1,0
"10","M48","M48male_1","41068","41038","Abstract in","41038",9,5,"Comb",1,1,0
"11","M48","M48male_1","41068","41038","Abstract in","41038",10,6,"Nothing",1,0,0
"12","M48","M48male_1","41068","41038","Abstract in","41038",11,7,"Fork",1,1,0
"13","M48","M48male_1","41068","41038","Abstract in","41038",12,8,"Hammer",1,1,0
"14","M48","M48male_1","41068","41038","Abstract in","41038",13,9,"Comb",1,1,0
"15","M48","M48male_1","41068","41038","Abstract in","41038",14,10,"Bike",1,1,0
"16","M48","M48male_1","41068","41038","Uptake","41038",1,21,"Hammer",1,1,0
"17","M48","M48male_1","41068","41038","Uptake","41038",2,22,"Nothing",1,1,3
"18","M48","M48male_1","41068","41038","Uptake","41038",3,23,"Fork",1,1,0
"19","M48","M48male_1","41068","41038","Uptake","41038",4,24,"Bike",1,1,0
"20","M48","M48male_1","41068","41038","Uptake","41038",5,25,"Comb",1,1,0
"21","M48","M48male_2","40723","43513","Spontaneous","40723",1,1,"Fork",0,0,0
"22","M48","M48male_2","40723","43513","Spontaneous","43513",1,1,"Fork",0,0,0
"23","M48","M48male_2","40723","43513","Spontaneous","43513",2,2,"Bike",1,1,3
"24","M48","M48male_2","40723","43513","Spontaneous","43513",3,3,"Comb",1,1,0
"25","M48","M48male_2","40723","43513","Spontaneous","43513",4,4,"Hammer",1,1,0
"26","M48","M48male_2","40723","43513","Abstract in","43513",5,1,"Nothing",1,0,0
"27","M48","M48male_2","40723","43513","Abstract in","43513",6,2,"Bike",1,1,0
"28","M48","M48male_2","40723","43513","Abstract in","43513",7,3,"Comb",1,1,0
"29","M48","M48male_2","40723","43513","Abstract in","43513",8,4,"Hammer",1,1,0
"30","M48","M48male_2","40723","43513","Abstract in","43513",9,5,"Fork",1,1,0
"31","M48","M48male_2","40723","43513","Abstract in","43513",10,6,"Comb",1,1,0
"32","M48","M48male_2","40723","43513","Abstract in","43513",11,7,"Hammer",1,1,0
"33","M48","M48male_2","40723","43513","Abstract in","43513",12,8,"Fork",1,1,0
"34","M48","M48male_2","40723","43513","Abstract in","43513",13,9,"Nothing",1,0,0
"35","M48","M48male_2","40723","43513","Abstract in","43513",14,10,"Bike",1,1,0
"36","M48","M48male_2","40723","43513","Uptake","40723",1,21,"Fork",1,1,0
"37","M48","M48male_2","40723","43513","Uptake","40723",2,22,"Hammer",1,1,0
"38","M48","M48male_2","40723","43513","Uptake","40723",3,23,"Nothing",1,1,0
"39","M48","M48male_2","40723","43513","Uptake","40723",4,24,"Comb",1,1,0
"40","M48","M48male_2","40723","43513","Uptake","40723",5,25,"Bike",1,1,0
"41","M48","M48male_3","43358","40778","Spontaneous","43358",1,1,"Hammer",0,0,0
"42","M48","M48male_3","43358","40778","Spontaneous","40778",1,1,"Hammer",1,1,3
"43","M48","M48male_3","43358","40778","Spontaneous","40778",2,2,"Fork",1,1,1
"44","M48","M48male_3","43358","40778","Spontaneous","40778",3,3,"Bike",1,1,1
"45","M48","M48male_3","43358","40778","Spontaneous","40778",4,4,"Comb",1,1,1
"46","M48","M48male_3","43358","40778","Abstract in","40778",5,1,"Hammer",1,1,1
"47","M48","M48male_3","43358","40778","Abstract in","40778",6,2,"Bike",1,1,0
"48","M48","M48male_3","43358","40778","Abstract in","40778",7,3,"Fork",1,1,0
"49","M48","M48male_3","43358","40778","Abstract in","40778",8,4,"Nothing",1,0,0
"50","M48","M48male_3","43358","40778","Abstract in","40778",9,5,"Comb",1,1,0
"51","M48","M48male_3","43358","40778","Abstract in","40778",10,6,"Bike",1,1,0
"52","M48","M48male_3","43358","40778","Abstract in","40778",11,7,"Comb",1,1,0
"53","M48","M48male_3","43358","40778","Abstract in","40778",12,8,"Nothing",0,0,0
"54","M48","M48male_3","43358","40778","Abstract in","40778",13,9,"Fork",1,1,0
"55","M48","M48male_3","43358","40778","Abstract in","40778",14,10,"Hammer",1,1,0
"56","M48","M48male_3","43358","40778","Uptake","43358",1,1,"Comb",1,1,3
