"","age","mage","id","block","blocktrial","trial","stimulus","prompts"
"1","m36",3.09650924024641,"46237","Transfer",1,1,"Hammer",1
"2","m36",3.09650924024641,"46237","Transfer",2,2,"Fork",1
"3","m36",3.09650924024641,"46237","Transfer",3,3,"Bike",1
"4","m36",3.09650924024641,"46237","Transfer",4,4,"Comb",1
"5","m36",3.09650924024641,"46237","Transfer",5,5,"Deer",1
"6","m36",3.09650924024641,"46237","Transfer",6,6,"Duck",1
"7","m36",3.09650924024641,"46237","Imitation",1,7,"Bike",1
"8","m36",3.09650924024641,"46237","Imitation",2,8,"Hammer",0
"9","m36",3.09650924024641,"46237","Imitation",3,9,"Fork",0
"10","m36",3.09650924024641,"46237","Imitation",4,10,"Comb",0
"11","m36",3.09650924024641,"46237","Imitation",5,11,"Deer",0
"12","m36",3.09650924024641,"46237","Imitation",6,12,"Duck",0
"13","m36",3.41683778234086,"47350","Transfer",1,1,"Fork",1
"14","m36",3.41683778234086,"47350","Transfer",2,2,"Hammer",1
"15","m36",3.41683778234086,"47350","Transfer",3,3,"Bike",1
"16","m36",3.41683778234086,"47350","Transfer",4,4,"Comb",1
"17","m36",3.41683778234086,"47350","Transfer",5,5,"Deer",1
"18","m36",3.41683778234086,"47350","Transfer",6,6,"Duck",1
"19","m36",3.41683778234086,"47350","Imitation",1,7,"Comb",1
"20","m36",3.41683778234086,"47350","Imitation",2,8,"Fork",1
"21","m36",3.41683778234086,"47350","Imitation",3,9,"Hammer",1
"22","m36",3.41683778234086,"47350","Imitation",4,10,"Bike",1
"23","m36",3.41683778234086,"47350","Imitation",5,11,"Duck",1
"24","m36",3.41683778234086,"47350","Imitation",6,12,"Deer",1
"25","m36",3.21971252566735,"47239","Transfer",1,1,"Comb",1
"26","m36",3.21971252566735,"47239","Transfer",2,2,"Bike",1
"27","m36",3.21971252566735,"47239","Transfer",3,3,"Hammer",1
"28","m36",3.21971252566735,"47239","Transfer",4,4,"Fork",0
"29","m36",3.21971252566735,"47239","Transfer",5,5,"Duck",0
"30","m36",3.21971252566735,"47239","Transfer",6,6,"Deer",1
"31","m36",3.21971252566735,"47239","Imitation",1,7,"Fork",0
"32","m36",3.21971252566735,"47239","Imitation",2,8,"Bike",0
"33","m36",3.21971252566735,"47239","Imitation",3,9,"Comb",0
"34","m36",3.21971252566735,"47239","Imitation",4,10,"Hammer",0
"35","m36",3.21971252566735,"47239","Imitation",5,11,"Deer",0
"36","m36",3.21971252566735,"47239","Imitation",6,12,"Duck",0
"37","m36",3.27994524298426,"45662","Transfer",1,1,"Hammer",1
"38","m36",3.27994524298426,"45662","Transfer",2,2,"Comb",1
"39","m36",3.27994524298426,"45662","Transfer",3,3,"Fork",1
"40","m36",3.27994524298426,"45662","Transfer",4,4,"Bike",1
"41","m36",3.27994524298426,"45662","Transfer",5,5,"Deer",1
"42","m36",3.27994524298426,"45662","Transfer",6,6,"Duck",1
"43","m36",3.27994524298426,"45662","Imitation",1,7,"Bike",1
"44","m36",3.27994524298426,"45662","Imitation",2,8,"Fork",1
"45","m36",3.27994524298426,"45662","Imitation",3,9,"Hammer",1
"46","m36",3.27994524298426,"45662","Imitation",4,10,"Comb",1
"47","m36",3.27994524298426,"45662","Imitation",5,11,"Deer",1
"48","m36",3.27994524298426,"45662","Imitation",6,12,"Duck",1
"49","m36",3.46064339493498,"45054","Transfer",1,1,"Fork",1
"50","m36",3.46064339493498,"45054","Transfer",2,2,"Comb",1
"51","m36",3.46064339493498,"45054","Transfer",3,3,"Bike",1
"52","m36",3.46064339493498,"45054","Transfer",4,4,"Hammer",1
"53","m36",3.46064339493498,"45054","Transfer",5,5,"Deer",1
"54","m36",3.46064339493498,"45054","Transfer",6,6,"Duck",1
"55","m36",3.46064339493498,"45054","Imitation",1,7,"Comb",1
"56","m36",3.46064339493498,"45054","Imitation",2,8,"Hammer",1
"57","m36",3.46064339493498,"45054","Imitation",3,9,"Fork",1
"58","m36",3.46064339493498,"45054","Imitation",4,10,"Bike",1
"59","m36",3.46064339493498,"45054","Imitation",5,11,"Duck",1
"60","m36",3.46064339493498,"45054","Imitation",6,12,"Deer",1
"61","m36",3.3429158110883,"46838","Transfer",1,1,"Comb",1
"62","m36",3.3429158110883,"46838","Transfer",2,2,"Hammer",1
"63","m36",3.3429158110883,"46838","Transfer",3,3,"Bike",1
"64","m36",3.3429158110883,"46838","Transfer",4,4,"Fork",1
"65","m36",3.3429158110883,"46838","Transfer",5,5,"Duck",1
"66","m36",3.3429158110883,"46838","Transfer",6,6,"Deer",1
"67","m36",3.3429158110883,"46838","Imitation",1,7,"Fork",1
"68","m36",3.3429158110883,"46838","Imitation",2,8,"Comb",0
"69","m36",3.3429158110883,"46838","Imitation",3,9,"Hammer",0
"70","m36",3.3429158110883,"46838","Imitation",4,10,"Bike",0
"71","m36",3.3429158110883,"46838","Imitation",5,11,"Deer",0
"72","m36",3.3429158110883,"46838","Imitation",6,12,"Duck",0
"73","m36",3.4113620807666,"45504","Transfer",1,1,"Bike",1
"74","m36",3.4113620807666,"45504","Transfer",2,2,"Fork",1
"75","m36",3.4113620807666,"45504","Transfer",3,3,"Comb",1
"76","m36",3.4113620807666,"45504","Transfer",4,4,"Hammer",1
"77","m36",3.4113620807666,"45504","Transfer",5,5,"Duck",1
"78","m36",3.4113620807666,"45504","Transfer",6,6,"Deer",1
"79","m36",3.4113620807666,"45504","Imitation",1,7,"Hammer",1
"80","m36",3.4113620807666,"45504","Imitation",2,8,"Comb",1
"81","m36",3.4113620807666,"45504","Imitation",3,9,"Bike",1
"82","m36",3.4113620807666,"45504","Imitation",4,10,"Fork",1
"83","m36",3.4113620807666,"45504","Imitation",5,11,"Duck",1
"84","m36",3.4113620807666,"45504","Imitation",6,12,"Deer",1
"85","m36",3.41957563312799,"47338","Transfer",1,1,"Hammer",1
"86","m36",3.41957563312799,"47338","Transfer",2,2,"Bike",0
"87","m36",3.41957563312799,"47338","Transfer",3,3,"Comb",0
"88","m36",3.41957563312799,"47338","Transfer",4,4,"Fork",0
"89","m36",3.41957563312799,"47338","Transfer",5,5,"Deer",0
"90","m36",3.41957563312799,"47338","Transfer",6,6,"Duck",0
"91","m36",3.41957563312799,"47338","Imitation",1,7,"Bike",0
"92","m36",3.41957563312799,"47338","Imitation",2,8,"Comb",0
"93","m36",3.41957563312799,"47338","Imitation",3,9,"Hammer",0
"94","m36",3.41957563312799,"47338","Imitation",4,10,"Fork",0
"95","m36",3.41957563312799,"47338","Imitation",5,11,"Deer",0
"96","m36",3.41957563312799,"47338","Imitation",6,12,"Duck",0
"97","m36",3.43326488706365,"46993","Transfer",1,1,"Fork",1
